----------------------------------------
Begin PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
Job ID:		97888995.gm-1r16-n04.guillimin.clumeq.ca
Username:	hophy
Group:		fyw-423-02
Nodes:		sw-4r04-n08
End PBS Prologue Thu Aug 17 12:49:02 EDT 2017 1502988542
----------------------------------------
Reading input from file input.out
Dim			:0.94407 
 Delr			:0.1 
 N				:48000 
 Maxbin_x			:413 
 Maxbin_y			:3167 
 Max_Maxbin			:3167 
 Drmax			:0.472035 
 Isave			:50 
 Iprint			:50 
 Iratio			:1 
 Cells.x			:20 
 Cells.y			:155 
 Region.x			:80 
 Region.y			:600 
 
Setting up initial square array configuration ....	 
 
number of particle	:48000
write out the inital configuration ...

START OF MARKOV CHAIN


ACM:	Ratio:	Drmax:
37450  0.5071  0.0755 
37500  0.4960  0.0709 
37550  0.4857  0.0736 
37600  0.5046  0.0764 
37650  0.4890  0.0718 
37700  0.5102  0.0745 
37750  0.5002  0.0774 
37800  0.4899  0.0727 
37850  0.5104  0.0754 
37900  0.4955  0.0709 
37950  0.4839  0.0736 
38000  0.5026  0.0764 
38050  0.4950  0.0717 
38100  0.4806  0.0745 
38150  0.5030  0.0773 
38200  0.4847  0.0726 
38250  0.5131  0.0754 
38300  0.5014  0.0783 
38350  0.4846  0.0736 
38400  0.5019  0.0764 
38450  0.4916  0.0717 
38500  0.5117  0.0745 
38550  0.4981  0.0700 
38600  0.4845  0.0726 
38650  0.5118  0.0754 
38700  0.4967  0.0708 
38750  0.5185  0.0735 
38800  0.5041  0.0763 
38850  0.4901  0.0717 
38900  0.5071  0.0745 
38950  0.5025  0.0773 
39000  0.4865  0.0726 
39050  0.5086  0.0754 
39100  0.4951  0.0708 
39150  0.5124  0.0735 
39200  0.5066  0.0763 
39250  0.4895  0.0717 
39300  0.4794  0.0744 
39350  0.5032  0.0773 
39400  0.4867  0.0726 
39450  0.5052  0.0754 
39500  0.4979  0.0708 
39550  0.4839  0.0735 
39600  0.5046  0.0763 
39650  0.4925  0.0717 
